insee;nom;nomcourt;type;forme;pop;nbcom;lon;lat;an;categorie;conso;consocvc;co2;eco2;co2i
200027308;CC d'Auberive Vingeanne et Montsaugeonnais;Auberive Vingeanne et Montsaugeonnais;CC;Rural autonome;8125;51;5,1864;47,7448;2022;Chaleur et froid issus de réseau;465;532;0;0;0
200027308;CC d'Auberive Vingeanne et Montsaugeonnais;Auberive Vingeanne et Montsaugeonnais;CC;Rural autonome;8125;51;5,1864;47,7448;2022;Electricité;46300;47500;0;1590;1590
200027308;CC d'Auberive Vingeanne et Montsaugeonnais;Auberive Vingeanne et Montsaugeonnais;CC;Rural autonome;8125;51;5,1864;47,7448;2022;Gaz Naturel;35,3;35,3;7,03;7,09;0
200027308;CC d'Auberive Vingeanne et Montsaugeonnais;Auberive Vingeanne et Montsaugeonnais;CC;Rural autonome;8125;51;5,1864;47,7448;2022;Produits pétroliers;371000;374000;99100;101000;0
200030526;CC du Ried de Marckolsheim;Ried de Marckolsheim;CC;Rural autonome;20597;18;7,5738;48,2124;2019;Aucune énergie;0;0;430;33400;0
200030526;CC du Ried de Marckolsheim;Ried de Marckolsheim;CC;Rural autonome;20597;18;7,5738;48,2124;2019;Autres énergies renouvelables (EnR);29500;30600;0;83,6;0
200030526;CC du Ried de Marckolsheim;Ried de Marckolsheim;CC;Rural autonome;20597;18;7,5738;48,2124;2019;Bois-énergie (EnR);63400;68200;0;1650;0
200030526;CC du Ried de Marckolsheim;Ried de Marckolsheim;CC;Rural autonome;20597;18;7,5738;48,2124;2019;Electricité;378000;380000;0;15700;15700
200030526;CC du Ried de Marckolsheim;Ried de Marckolsheim;CC;Rural autonome;20597;18;7,5738;48,2124;2019;Gaz Naturel;770000;773000;155000;155000;0
200030526;CC du Ried de Marckolsheim;Ried de Marckolsheim;CC;Rural autonome;20597;18;7,5738;48,2124;2019;Produits pétroliers;143000;145000;38200;39300;0
200030526;CC du Ried de Marckolsheim;Ried de Marckolsheim;CC;Rural autonome;20597;18;7,5738;48,2124;2020;Aucune énergie;0;0;322;32800;0
200030526;CC du Ried de Marckolsheim;Ried de Marckolsheim;CC;Rural autonome;20597;18;7,5738;48,2124;2020;Autres énergies renouvelables (EnR);33800;36700;0;91,4;0
200030526;CC du Ried de Marckolsheim;Ried de Marckolsheim;CC;Rural autonome;20597;18;7,5738;48,2124;2020;Bois-énergie (EnR);57300;66800;0;1450;0
200030526;CC du Ried de Marckolsheim;Ried de Marckolsheim;CC;Rural autonome;20597;18;7,5738;48,2124;2020;Electricité;377000;380000;0;15200;15200
200030526;CC du Ried de Marckolsheim;Ried de Marckolsheim;CC;Rural autonome;20597;18;7,5738;48,2124;2020;Gaz Naturel;882000;888000;177000;177000;0
200030526;CC du Ried de Marckolsheim;Ried de Marckolsheim;CC;Rural autonome;20597;18;7,5738;48,2124;2020;Produits pétroliers;131000;135000;34900;36100;0
200030526;CC du Ried de Marckolsheim;Ried de Marckolsheim;CC;Rural autonome;20597;18;7,5738;48,2124;2021;Aucune énergie;0;0;343;34700;0
200030526;CC du Ried de Marckolsheim;Ried de Marckolsheim;CC;Rural autonome;20597;18;7,5738;48,2124;2021;Autres énergies renouvelables (EnR);47200;46400;0;123;0
200030526;CC du Ried de Marckolsheim;Ried de Marckolsheim;CC;Rural autonome;20597;18;7,5738;48,2124;2021;Bois-énergie (EnR);70000;67400;0;1720;0
200030526;CC du Ried de Marckolsheim;Ried de Marckolsheim;CC;Rural autonome;20597;18;7,5738;48,2124;2021;Electricité;394000;394000;0;14900;14900
200030526;CC du Ried de Marckolsheim;Ried de Marckolsheim;CC;Rural autonome;20597;18;7,5738;48,2124;2021;Gaz Naturel;870000;869000;174000;177000;0
200030526;CC du Ried de Marckolsheim;Ried de Marckolsheim;CC;Rural autonome;20597;18;7,5738;48,2124;2021;Produits pétroliers;141000;140000;37500;38500;0
200030526;CC du Ried de Marckolsheim;Ried de Marckolsheim;CC;Rural autonome;20597;18;7,5738;48,2124;2022;Aucune énergie;0;0;410;35300;0
200030526;CC du Ried de Marckolsheim;Ried de Marckolsheim;CC;Rural autonome;20597;18;7,5738;48,2124;2022;Autres énergies renouvelables (EnR);57700;62400;0;134;0
200030526;CC du Ried de Marckolsheim;Ried de Marckolsheim;CC;Rural autonome;20597;18;7,5738;48,2124;2022;Bois-énergie (EnR);57300;68000;0;1370;0
200030526;CC du Ried de Marckolsheim;Ried de Marckolsheim;CC;Rural autonome;20597;18;7,5738;48,2124;2022;Electricité;379000;382000;0;12600;12600
200030526;CC du Ried de Marckolsheim;Ried de Marckolsheim;CC;Rural autonome;20597;18;7,5738;48,2124;2022;Gaz Naturel;782000;788000;157000;160000;0
200030526;CC du Ried de Marckolsheim;Ried de Marckolsheim;CC;Rural autonome;20597;18;7,5738;48,2124;2022;Produits pétroliers;129000;132000;34300;35300;0
200033025;CA de Bar-le-Duc - Sud Meuse;Bar-le-Duc - Sud Meuse;CA;Urbain;33812;33;5,2273;48,7372;2019;Aucune énergie;0;0;540;50900;0
200033025;CA de Bar-le-Duc - Sud Meuse;Bar-le-Duc - Sud Meuse;CA;Urbain;33812;33;5,2273;48,7372;2019;Autres énergies renouvelables (EnR);44100;45200;0;98,4;0
200033025;CA de Bar-le-Duc - Sud Meuse;Bar-le-Duc - Sud Meuse;CA;Urbain;33812;33;5,2273;48,7372;2019;Autres non renouvelables;0;0;0;0;0
200033025;CA de Bar-le-Duc - Sud Meuse;Bar-le-Duc - Sud Meuse;CA;Urbain;33812;33;5,2273;48,7372;2019;Bois-énergie (EnR);80700;84700;0;2070;0
200033025;CA de Bar-le-Duc - Sud Meuse;Bar-le-Duc - Sud Meuse;CA;Urbain;33812;33;5,2273;48,7372;2019;Chaleur et froid issus de réseau;32500;33800;0;15600;15600
200033025;CA de Bar-le-Duc - Sud Meuse;Bar-le-Duc - Sud Meuse;CA;Urbain;33812;33;5,2273;48,7372;2019;Electricité;189000;190000;0;8070;8070
